,Unnamed: 0,指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,Unnamed: 6,日期,年
24607,26433,寶島股價指數,"10,656.17",+,20.94,0.20,,,20170103,2017
24608,26434,發行量加權股價指數,"9,272.88",+,19.38,0.21,,,20170103,2017
24609,26435,臺灣公司治理100指數,"5,257.38",+,11.11,0.21,,,20170103,2017
24610,26436,臺灣50指數,"7,004.60",+,26.06,0.37,,,20170103,2017
24611,26437,臺灣中型100指數,"6,293.01",+,1.29,0.02,,,20170103,2017
24612,26438,臺灣資訊科技指數,"8,345.39",+,57.83,0.70,,,20170103,2017
24613,26439,臺灣發達指數,"7,851.71",+,5.39,0.07,,,20170103,2017
24614,26440,臺灣高股息指數,"5,438.92",+,15.16,0.28,,,20170103,2017
24615,26441,臺灣就業99指數,"5,580.96",+,6.81,0.12,,,20170103,2017
24616,26442,臺灣高薪100指數,"5,202.34",+,10.27,0.20,,,20170103,2017
24617,26443,臺灣低波動高股息指數,"1,348.31",+,1.89,0.14,,,20170103,2017
24618,26444,未含金融保險股指數,"7,827.56",+,18.69,0.24,,,20170103,2017
24619,26445,未含電子股指數,"13,158.99",-,8.02,-0.06,,,20170103,2017
24620,26446,未含金融電子股指數,"11,313.02",-,10.41,-0.09,,,20170103,2017
24621,26447,小型股300指數,"5,498.23",+,13.12,0.24,,,20170103,2017
24622,26448,水泥窯製類指數,427.60,+,0.16,0.04,,,20170103,2017
24623,26449,塑膠化工類指數,865.44,+,4.48,0.52,,,20170103,2017
24624,26450,機電類指數,"2,087.46",+,8.91,0.43,,,20170103,2017
24625,26451,水泥類指數,111.92,+,0.14,0.13,,,20170103,2017
24626,26452,食品類指數,"1,359.71",-,1.06,-0.08,,,20170103,2017
24627,26453,塑膠類指數,261.60,+,1.62,0.62,,,20170103,2017
24628,26454,紡織纖維類指數,477.54,+,2.04,0.43,,,20170103,2017
24629,26455,電機機械類指數,154.50,+,0.04,0.03,,,20170103,2017
24630,26456,電器電纜類指數,38.44,-,0.28,-0.72,,,20170103,2017
24631,26457,化學生技醫療類指數,99.05,-,0.07,-0.07,,,20170103,2017
24632,26458,化學類指數,98.85,+,0.88,0.90,,,20170103,2017
24633,26459,生技醫療類指數,70.18,-,0.92,-1.29,,,20170103,2017
24634,26460,玻璃陶瓷類指數,36.12,-,0.15,-0.41,,,20170103,2017
24635,26461,造紙類指數,167.97,+,2.65,1.60,,,20170103,2017
24636,26462,鋼鐵類指數,97.48,-,0.58,-0.59,,,20170103,2017
24637,26463,橡膠類指數,315.45,+,2.52,0.81,,,20170103,2017
24638,26464,汽車類指數,249.55,-,1.11,-0.44,,,20170103,2017
24639,26465,電子類指數,371.30,+,1.66,0.45,,,20170103,2017
24640,26466,半導體類指數,129.00,+,0.79,0.62,,,20170103,2017
24641,26467,電腦及週邊設備類指數,95.90,+,0.34,0.36,,,20170103,2017
24642,26468,光電類指數,35.74,+,0.23,0.65,,,20170103,2017
24643,26469,通信網路類指數,118.47,+,0.64,0.54,,,20170103,2017
24644,26470,電子零組件類指數,77.99,-,0.15,-0.19,,,20170103,2017
24645,26471,電子通路類指數,108.13,-,0.05,-0.05,,,20170103,2017
24646,26472,資訊服務類指數,85.32,-,0.12,-0.14,,,20170103,2017
24647,26473,其他電子類指數,87.06,+,0.19,0.22,,,20170103,2017
24648,26474,建材營造類指數,239.33,-,0.76,-0.32,,,20170103,2017
24649,26475,航運類指數,57.96,+,0.66,1.15,,,20170103,2017
24650,26476,觀光類指數,105.72,-,0.30,-0.28,,,20170103,2017
24651,26477,金融保險類指數,"1,076.95",+,0.18,0.02,,,20170103,2017
24652,26478,貿易百貨類指數,208.54,+,0.93,0.45,,,20170103,2017
24653,26479,油電燃氣類指數,138.25,-,2.99,-2.12,,,20170103,2017
24654,26480,其他類指數,235.89,-,0.24,-0.10,,,20170103,2017
24655,26481,臺指日報酬兩倍指數,"12,547.20",+,52.34,0.42,,,20170103,2017
24656,26482,臺指日報酬反向一倍指數,"8,596.87",-,18.04,-0.21,,,20170103,2017
24657,26483,電子類兩倍槓桿指數,"9,431.85",+,83.96,0.90,,,20170103,2017
24658,26484,電子類反向指數,"9,613.25",-,43.37,-0.45,,,20170103,2017
24659,26485,價格指數(跨市場),,,,,,,20170103,2017
24660,26487,價格指數(臺灣指數公司),,,,,,,20170103,2017
24661,26489,漲升股利150指數,"5,275.56",+,6.99,0.13,,,20170103,2017
24662,26490,漲升股利100指數,"5,230.87",+,5.13,0.10,,,20170103,2017
24663,26491,金融類日報酬反向一倍指數,"8,029.42",-,1.34,-0.02,,,20170103,2017
