,Unnamed: 0,指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,Unnamed: 6,日期,年
87040,92802,寶島股價指數,"10,939.89",-,177.71,-1.60,,,20190102,2019
87041,92803,發行量加權股價指數,"9,554.14",-,173.27,-1.78,,,20190102,2019
87042,92804,臺灣公司治理100指數,"5,439.44",-,128.93,-2.32,,,20190102,2019
87043,92805,臺灣50指數,"7,163.81",-,163.33,-2.23,,,20190102,2019
87044,92806,臺灣中型100指數,"6,873.52",-,26.88,-0.39,,,20190102,2019
87045,92807,臺灣資訊科技指數,"9,143.20",-,217.12,-2.32,,,20190102,2019
87046,92808,臺灣發達指數,"7,440.17",-,141.70,-1.87,,,20190102,2019
87047,92809,臺灣高股息指數,"5,548.89",-,49.02,-0.88,,,20190102,2019
87048,92810,臺灣就業99指數,"5,802.88",-,86.04,-1.46,,,20190102,2019
87049,92811,臺灣高薪100指數,"5,376.06",-,105.80,-1.93,,,20190102,2019
87050,92812,臺灣低波動高股息指數,"1,494.35",-,24.16,-1.59,,,20190102,2019
87051,92813,未含金融保險股指數,"7,991.86",-,153.85,-1.89,,,20190102,2019
87052,92814,未含電子股指數,"13,637.31",-,214.57,-1.55,,,20190102,2019
87053,92815,未含金融電子股指數,"11,482.03",-,201.18,-1.72,,,20190102,2019
87054,92816,小型股300指數,"5,713.02",-,18.73,-0.33,,,20190102,2019
87055,92817,水泥窯製類指數,483.05,-,1.30,-0.27,,,20190102,2019
87056,92818,塑膠化工類指數,841.04,-,23.28,-2.69,,,20190102,2019
87057,92819,機電類指數,"2,140.37",-,42.06,-1.93,,,20190102,2019
87058,92820,水泥類指數,129.35,-,0.46,-0.35,,,20190102,2019
87059,92821,食品類指數,"1,590.90",-,26.80,-1.66,,,20190102,2019
87060,92822,塑膠類指數,267.99,-,9.93,-3.57,,,20190102,2019
87061,92823,紡織纖維類指數,507.48,+,1.49,0.29,,,20190102,2019
87062,92824,電機機械類指數,158.49,-,0.50,-0.31,,,20190102,2019
87063,92825,電器電纜類指數,46.24,-,0.19,-0.41,,,20190102,2019
87064,92826,化學生技醫療類指數,91.04,-,0.26,-0.28,,,20190102,2019
87065,92827,化學類指數,101.65,-,0.29,-0.28,,,20190102,2019
87066,92828,生技醫療類指數,55.12,-,0.15,-0.27,,,20190102,2019
87067,92829,玻璃陶瓷類指數,34.90,+,0.10,0.29,,,20190102,2019
87068,92830,造紙類指數,180.98,-,0.73,-0.40,,,20190102,2019
87069,92831,鋼鐵類指數,103.84,-,0.88,-0.84,,,20190102,2019
87070,92832,橡膠類指數,240.44,-,2.13,-0.88,,,20190102,2019
87071,92833,汽車類指數,194.57,-,3.70,-1.87,,,20190102,2019
87072,92834,電子類指數,380.25,-,7.75,-2.00,,,20190102,2019
87073,92835,半導體類指數,147.32,-,3.74,-2.48,,,20190102,2019
87074,92836,電腦及週邊設備類指數,82.32,-,0.29,-0.35,,,20190102,2019
